no,page,title,subtitle,author,price,pages,pub_date,bookcode,url,cover
110,8,2026 시나공 정보처리기사 실기 총정리,,길벗알앤디,"33,000",684,2026.03.23,BN004764,https://www.gilbut.co.kr/book/view?bookcode=BN004764,https://gimg.gilbut.co.kr/book/BN004764/rn_view_BN004764.jpg
111,8,최신판시나공 사무자동화산업기사 실기 기본서(오피스2021/2016/2010공용),,길벗알앤디,"28,000",536,2026.03.23,BN004763,https://www.gilbut.co.kr/book/view?bookcode=BN004763,https://gimg.gilbut.co.kr/book/BN004763/rn_view_BN004763.jpg
112,8,가타카나 카드놀이,,길벗JTA연구회,"15,000",96,2026.03.20,BN004778,https://www.gilbut.co.kr/book/view?bookcode=BN004778,https://gimg.gilbut.co.kr/book/BN004778/rn_view_BN004778.jpg
113,8,히라가나 카드놀이,,길벗JTA연구회,"15,000",96,2026.03.20,BN004777,https://www.gilbut.co.kr/book/view?bookcode=BN004777,https://gimg.gilbut.co.kr/book/BN004777/rn_view_BN004777.jpg
114,8,"사유의 문장, 영어 필사 100일",삶의 태도를 바꾸는 지적인 습관,영어키위새(김윤진),"22,000",248,2026.03.20,BN004748,https://www.gilbut.co.kr/book/view?bookcode=BN004748,https://gimg.gilbut.co.kr/book/BN004748/rn_view_BN004748.jpg
115,8,오늘부터 월급은 부동산으로 받습니다,3천만 원으로 시작하는 아파트 월세투자의 모든 것,조훈희,"24,000",300,2026.03.18,BN004774,https://www.gilbut.co.kr/book/view?bookcode=BN004774,https://gimg.gilbut.co.kr/book/BN004774/rn_view_BN004774.jpg
116,8,A2A × MCP 멀티에이전트 오케스트레이션 실전,"현직 AI Specialist에게 배우는 A2A! A2A x MCP 시스템을 설계, 구축, 운영하며 멀티 에이전트의 기본을 경험한다!",서지영,"33,000",452,2026.03.16,BN004766,https://www.gilbut.co.kr/book/view?bookcode=BN004766,https://gimg.gilbut.co.kr/book/BN004766/rn_view_BN004766.jpg
117,8,최신판 시나공 ITQ OA Master(엑셀&파워포인트 ver.2021+한글 ver.2022),,길벗알앤디,"30,000",672,2026.03.16,BN004749,https://www.gilbut.co.kr/book/view?bookcode=BN004749,https://gimg.gilbut.co.kr/book/BN004749/rn_view_BN004749.jpg
118,8,마케팅 브레인 욕망을 설계하라,소비자의 심리를 움직이는 17가지 행동과학 법칙,"낸시 하허트,송보라","23,000",412,2026.03.13,BN004745,https://www.gilbut.co.kr/book/view?bookcode=BN004745,https://gimg.gilbut.co.kr/book/BN004745/rn_view_BN004745.jpg
119,8,마음 속 캐릭터를 만들 수 있게 돕습니다,,공오,"20,000",208,2026.03.10,BN004753,https://www.gilbut.co.kr/book/view?bookcode=BN004753,https://gimg.gilbut.co.kr/book/BN004753/rn_view_BN004753.jpg
120,8,네트워크∙보안 엔지니어를 위한 챗GPT 활용 기술,"반복된 업무를 줄여줄 프롬프트 설계부터 GPTs 제작, 슬랙 연동까지 실무에 바로 쓰는 AI 가이드",박진산 관계없음||입문||초급,"27,000",312,2026.03.09,BN004755,https://www.gilbut.co.kr/book/view?bookcode=BN004755,https://gimg.gilbut.co.kr/book/BN004755/rn_view_BN004755.jpg
121,9,쓰는 만큼 내가 된다,매일의 순간이 모여 내일의 내가 되는 일에 대하여,리니,"18,000",224,2026.03.06,BN004750,https://www.gilbut.co.kr/book/view?bookcode=BN004750,https://gimg.gilbut.co.kr/book/BN004750/rn_view_BN004750.jpg
122,9,유망학과 100 [자연계용] 개정판,,길벗교육연구회,"22,000",232,2026.03.05,BN004776,https://www.gilbut.co.kr/book/view?bookcode=BN004776,https://gimg.gilbut.co.kr/book/BN004776/rn_view_BN004776.jpg
123,9,괜찮지 않은 날에도 괜찮은 척한 너에게,민감하고 섬세한 10대를 위한 자기 이해 수업,"미사키 주리,이미정","16,800",172,2026.02.28,BN004772,https://www.gilbut.co.kr/book/view?bookcode=BN004772,https://gimg.gilbut.co.kr/book/BN004772/rn_view_BN004772.jpg
124,9,감정어 사전,기분에 휘둘리지 않고 나를 지키는,오시바 요시노부,"17,000",180,2026.02.27,BN004752,https://www.gilbut.co.kr/book/view?bookcode=BN004752,https://gimg.gilbut.co.kr/book/BN004752/rn_view_BN004752.jpg
